BFS_NR,GEBIET_NAME,2019
3201,Häggenschwil,41.7
3202,Muolen,40.1
3203,Stadt St.Gallen,28.2
3204,Wittenbach,36.3
3211,Berg (SG),38.5
3212,Eggersriet,42.4
3213,Goldach,31.6
3214,Mörschwil,36.6
3215,Rorschach,29.2
3216,Rorschacherberg,28.0
3217,Steinach,31.8
3218,Tübach,42.9
3219,Untereggen,38.1
3231,Au (SG),31.1
3232,Balgach,30.4
3233,Berneck,35.3
3234,Diepoldsau,34.9
3235,Rheineck,28.5
3236,St.Margrethen,31.1
3237,Thal,33.3
3238,Widnau,32.9
3251,Altstätten,34.1
3252,Eichberg,35.5
3253,Marbach (SG),33.8
3254,Oberriet (SG),35.3
3255,Rebstein,31.2
3256,Rüthi (SG),34.5
3271,Buchs (SG),32.1
3272,Gams,37.6
3273,Grabs,36.5
3274,Sennwald,28.1
3275,Sevelen,33.8
3276,Wartau,38.7
3291,Bad Ragaz,27.7
3292,Flums,34.9
3293,Mels,37.0
3294,Pfäfers,34.9
3295,Quarten,29.2
3296,Sargans,32.9
3297,Vilters-Wangs,39.6
3298,Walenstadt,34.9
3311,Amden,30.3
3312,Benken (SG),39.5
3313,Kaltbrunn,37.1
3315,Schänis,37.8
3316,Weesen,33.1
3338,Schmerikon,33.6
3339,Uznach,37.8
3340,Rapperswil-Jona,31.7
3341,Gommiswald,33.4
3342,Eschenbach (SG),34.9
3352,Ebnat-Kappel,38.0
3359,Wildhaus-Alt St. Johann,38.6
3360,Nesslau,36.5
3374,Lichtensteig,29.0
3379,Wattwil,34.6
3392,Kirchberg (SG),39.8
3393,Lütisburg,39.0
3394,Mosnang,44.8
3395,Bütschwil-Ganterschwil,37.3
3396,Neckertal,39.7
3401,Degersheim,44.4
3402,Flawil,36.9
3405,Jonschwil,41.9
3407,Oberuzwil,38.2
3408,Uzwil,35.6
3422,Niederbüren,40.2
3423,Niederhelfenschwil,44.4
3424,Oberbüren,36.5
3426,Zuzwil (SG),34.8
3427,Wil (SG),32.0
3441,Andwil (SG),45.9
3442,Gaiserwald,36.8
3443,Gossau (SG),31.8
3444,Waldkirch,44.5
