BFS_NR,GEBIET_NAME,2019
3201,Häggenschwil,22.8
3202,Muolen,23.6
3203,Stadt St.Gallen,27.7
3204,Wittenbach,38.2
3211,Berg (SG),33.1
3212,Eggersriet,40.1
3213,Goldach,35.9
3214,Mörschwil,31.8
3215,Rorschach,30.3
3216,Rorschacherberg,33.6
3217,Steinach,34.9
3218,Tübach,31.2
3219,Untereggen,24.6
3231,Au (SG),30.4
3232,Balgach,25.1
3233,Berneck,31.9
3234,Diepoldsau,25.7
3235,Rheineck,34.4
3236,St.Margrethen,27.7
3237,Thal,30.4
3238,Widnau,25.4
3251,Altstätten,30.1
3252,Eichberg,22.3
3253,Marbach (SG),26.1
3254,Oberriet (SG),25.0
3255,Rebstein,29.9
3256,Rüthi (SG),24.1
3271,Buchs (SG),26.9
3272,Gams,26.5
3273,Grabs,30.8
3274,Sennwald,23.9
3275,Sevelen,26.0
3276,Wartau,29.6
3291,Bad Ragaz,33.1
3292,Flums,31.4
3293,Mels,29.8
3294,Pfäfers,36.0
3295,Quarten,33.8
3296,Sargans,28.5
3297,Vilters-Wangs,31.7
3298,Walenstadt,33.8
3311,Amden,46.0
3312,Benken (SG),24.9
3313,Kaltbrunn,23.8
3315,Schänis,28.2
3316,Weesen,38.7
3338,Schmerikon,34.0
3339,Uznach,29.1
3340,Rapperswil-Jona,35.3
3341,Gommiswald,31.3
3342,Eschenbach (SG),28.7
3352,Ebnat-Kappel,45.3
3359,Wildhaus-Alt St. Johann,46.9
3360,Nesslau,43.7
3374,Lichtensteig,29.7
3379,Wattwil,37.7
3392,Kirchberg (SG),26.4
3393,Lütisburg,22.9
3394,Mosnang,30.3
3395,Bütschwil-Ganterschwil,29.5
3396,Neckertal,31.7
3401,Degersheim,32.5
3402,Flawil,31.5
3405,Jonschwil,28.2
3407,Oberuzwil,29.5
3408,Uzwil,28.8
3422,Niederbüren,21.6
3423,Niederhelfenschwil,25.1
3424,Oberbüren,24.9
3426,Zuzwil (SG),29.2
3427,Wil (SG),31.9
3441,Andwil (SG),28.5
3442,Gaiserwald,36.3
3443,Gossau (SG),33.6
3444,Waldkirch,27.2
